"hgnc"	"model_organism"	"line"	"sex"	"change_percentage"	"p_value"	"sample"	"age_of_control_min"	"age_of_control_mean"	"age_of_control_max"	"age_of_experiment_min"	"age_of_experiment_mean"	"age_of_experiment_max"	"age_unit"	"change_type"	"control_cohort_size"	"experiment_cohort_size"	"statistical_method"	"expression_evaluation_by"	"measurement_method"	"comment"	"doi"	"pmid"
"HLA-DPA1"	"human"	"n/a"	"all"	"89.5093%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"14.356%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"210.317%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"262.92%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"153.209%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"124.352%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"169.042%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"35.7655%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"76.0617%"	">0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"97.136%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"35.3703%"	">0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DQB1"	"human"	"n/a"	"all"	"13.997%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DQB1"	"human"	"n/a"	"all"	"42.9238%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DQB1"	"human"	"n/a"	"all"	"105.971%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DQB1"	"human"	"n/a"	"all"	"135.363%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DQB1"	"human"	"n/a"	"all"	"14.8578%"	">0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DQB1"	"human"	"n/a"	"all"	"33.1743%"	">0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DQB1"	"human"	"n/a"	"all"	"-3.09571%"	">0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"decreased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DQB1"	"human"	"n/a"	"all"	"20.3797%"	">0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRA"	"human"	"n/a"	"all"	"150.402%"	"<0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRA"	"human"	"n/a"	"all"	"146.665%"	"<0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRA"	"human"	"n/a"	"all"	"324.533%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRA"	"human"	"n/a"	"all"	"317.658%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRA"	"human"	"n/a"	"all"	"303.681%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRA"	"human"	"n/a"	"all"	"241.649%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRA"	"human"	"n/a"	"all"	"135.283%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRA"	"human"	"n/a"	"all"	"146.811%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB3"	"human"	"n/a"	"all"	"1.67072%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB3"	"human"	"n/a"	"all"	"18.6355%"	">0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB3"	"human"	"n/a"	"all"	"7.20108%"	">0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB3"	"human"	"n/a"	"all"	"-16.0035%"	">0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"decreased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB4"	"human"	"n/a"	"all"	"67.5308%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB4"	"human"	"n/a"	"all"	"177.653%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB4"	"human"	"n/a"	"all"	"100.416%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB4"	"human"	"n/a"	"all"	"88.4625%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB6"	"human"	"n/a"	"all"	"14.3884%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB6"	"human"	"n/a"	"all"	"150.162%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB6"	"human"	"n/a"	"all"	"33.4989%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DRB6"	"human"	"n/a"	"all"	"24.6082%"	">0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"37.7511%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"29.5349%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"26.639%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"76.6449%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"58.3032%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"39.2279%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"43.9346%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"41.6459%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"34.8819%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"61.1803%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"76.8904%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-E"	"human"	"n/a"	"all"	"65.7336%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"11.671%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"13.5143%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"9.09451%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"6.54644%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"17.4884%"	">0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"30.5551%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"30.5275%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"25.9632%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"13.9186%"	">0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"18.7003%"	">0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-G"	"human"	"n/a"	"all"	"14.8411%"	">0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
