"hgnc"	"comment"	"doi"	"pmid"	"intervention"	"model_organism"	"line"	"intervention_deteriorates"	"intervention_improves"	"intervention_result"	"process"	"age"	"genotype"	"sex"
"CYBB"	"Along with Nox2 activation, there were significant (2-fold) increases in NADPH-dependent O2– production by aging WT brains in comparison to young WT controls. Increased O2– production by the aging WT brains could be significantly reduced by adding Tiron, diphenyleneiodonium (a flavoprotein inhibitor), apocynin (a Nox2 inhibitor), or l-NAME (an eNOS inhibitor), but not rotenone (mitochondrial complex I enzyme inhibitor) or oxypurinol (xanthine oxidase inhibitor). In the presence of Nox2tat (specific peptide Nox2 inhibitors, 10 μm/L), the levels of H2O2 produced by aging WT brain were notably inhibited (21 months)."	"10.1172/JCI125173"	"n/a"	"treatment with a gene product inhibitor"	"mouse"	"C57BL/6J"	""	"oxidation/antioxidant function"	"n/a"	"oxidation/antioxidant function"	"0 days"	"n/a"	"male"
"CYBB"	"At young age, Nox2KO brains had slightly lower ROS production as compared with age-matched WT controls. In comparison to young WT controls, aging WT brains displayed a remarkable increase (~2.5-fold) in ROS production, and this could be reduced to the levels in young controls by addition of Tiron, an O2•– scavenger. The levels of ROS production in aging Nox2KO brains were also increased in comparison to young Nox2KO brains, albeit to a considerably lesser extent than in aging WT brains (21 months). Increased ROS production by aging WT brains was accompanied by a significant reduction in cerebral capillary density and neurons in comparison to their respective young controls. Capillary density and neuronal density were well preserved in aging Nox2KO brain as compared with young Nox2KO controls. There was no significant difference in either basal or AMPA-stimulated neuron firing frequencies between young WT and Nox2KO mice. However, at old age, the neuron firing frequency (both basal and AMPA-stimulated) was remarkably reduced in aging WT brains but well preserved in aging Nox2KO mice (21 months). There were significant increases in markers of DNA damage, i.e., increased phosphorylation of the histone variant H2AX at Ser139 to form γH2AX and increased p53 expression in aging WT brains. In contrast, aging Nox2KO brains had less DNA damage as compared with aging WT brains (21 months). At old age (20–22 months), WT mice had significant increases in body weight (the difference between age-matched WT and Nox2KO mice was significant from age of 7 months), and levels of fasting glucose, insulin. Aging WT mice were insulin resistant, as indicated by homeostatic model assessment–insulin resistance scores. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. From age 10-12 months, WT mice had significant increase in blood pressure. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. At old age (20–22 months), WT mice had significant increase in level of LDL. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice."	"10.1172/JCI125173"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"cholesterol metabolism"	"n/a"	"cholesterol metabolism"	"0 days"	"-/-"	"male"
"CYBB"	"At young age, Nox2KO brains had slightly lower ROS production as compared with age-matched WT controls. In comparison to young WT controls, aging WT brains displayed a remarkable increase (~2.5-fold) in ROS production, and this could be reduced to the levels in young controls by addition of Tiron, an O2•– scavenger. The levels of ROS production in aging Nox2KO brains were also increased in comparison to young Nox2KO brains, albeit to a considerably lesser extent than in aging WT brains (21 months). Increased ROS production by aging WT brains was accompanied by a significant reduction in cerebral capillary density and neurons in comparison to their respective young controls. Capillary density and neuronal density were well preserved in aging Nox2KO brain as compared with young Nox2KO controls. There was no significant difference in either basal or AMPA-stimulated neuron firing frequencies between young WT and Nox2KO mice. However, at old age, the neuron firing frequency (both basal and AMPA-stimulated) was remarkably reduced in aging WT brains but well preserved in aging Nox2KO mice (21 months). There were significant increases in markers of DNA damage, i.e., increased phosphorylation of the histone variant H2AX at Ser139 to form γH2AX and increased p53 expression in aging WT brains. In contrast, aging Nox2KO brains had less DNA damage as compared with aging WT brains (21 months). At old age (20–22 months), WT mice had significant increases in body weight (the difference between age-matched WT and Nox2KO mice was significant from age of 7 months), and levels of fasting glucose, insulin. Aging WT mice were insulin resistant, as indicated by homeostatic model assessment–insulin resistance scores. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. From age 10-12 months, WT mice had significant increase in blood pressure. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. At old age (20–22 months), WT mice had significant increase in level of LDL. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice."	"10.1172/JCI125173"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"nervous system"	"n/a"	"nervous system"	"0 days"	"-/-"	"male"
"CYBB"	"At young age, Nox2KO brains had slightly lower ROS production as compared with age-matched WT controls. In comparison to young WT controls, aging WT brains displayed a remarkable increase (~2.5-fold) in ROS production, and this could be reduced to the levels in young controls by addition of Tiron, an O2•– scavenger. The levels of ROS production in aging Nox2KO brains were also increased in comparison to young Nox2KO brains, albeit to a considerably lesser extent than in aging WT brains (21 months). Increased ROS production by aging WT brains was accompanied by a significant reduction in cerebral capillary density and neurons in comparison to their respective young controls. Capillary density and neuronal density were well preserved in aging Nox2KO brain as compared with young Nox2KO controls. There was no significant difference in either basal or AMPA-stimulated neuron firing frequencies between young WT and Nox2KO mice. However, at old age, the neuron firing frequency (both basal and AMPA-stimulated) was remarkably reduced in aging WT brains but well preserved in aging Nox2KO mice (21 months). There were significant increases in markers of DNA damage, i.e., increased phosphorylation of the histone variant H2AX at Ser139 to form γH2AX and increased p53 expression in aging WT brains. In contrast, aging Nox2KO brains had less DNA damage as compared with aging WT brains (21 months). At old age (20–22 months), WT mice had significant increases in body weight (the difference between age-matched WT and Nox2KO mice was significant from age of 7 months), and levels of fasting glucose, insulin. Aging WT mice were insulin resistant, as indicated by homeostatic model assessment–insulin resistance scores. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. From age 10-12 months, WT mice had significant increase in blood pressure. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. At old age (20–22 months), WT mice had significant increase in level of LDL. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice."	"10.1172/JCI125173"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"insulin sensitivity"	"n/a"	"insulin sensitivity"	"0 days"	"-/-"	"male"
"CYBB"	"At young age, Nox2KO brains had slightly lower ROS production as compared with age-matched WT controls. In comparison to young WT controls, aging WT brains displayed a remarkable increase (~2.5-fold) in ROS production, and this could be reduced to the levels in young controls by addition of Tiron, an O2•– scavenger. The levels of ROS production in aging Nox2KO brains were also increased in comparison to young Nox2KO brains, albeit to a considerably lesser extent than in aging WT brains (21 months). Increased ROS production by aging WT brains was accompanied by a significant reduction in cerebral capillary density and neurons in comparison to their respective young controls. Capillary density and neuronal density were well preserved in aging Nox2KO brain as compared with young Nox2KO controls. There was no significant difference in either basal or AMPA-stimulated neuron firing frequencies between young WT and Nox2KO mice. However, at old age, the neuron firing frequency (both basal and AMPA-stimulated) was remarkably reduced in aging WT brains but well preserved in aging Nox2KO mice (21 months). There were significant increases in markers of DNA damage, i.e., increased phosphorylation of the histone variant H2AX at Ser139 to form γH2AX and increased p53 expression in aging WT brains. In contrast, aging Nox2KO brains had less DNA damage as compared with aging WT brains (21 months). At old age (20–22 months), WT mice had significant increases in body weight (the difference between age-matched WT and Nox2KO mice was significant from age of 7 months), and levels of fasting glucose, insulin. Aging WT mice were insulin resistant, as indicated by homeostatic model assessment–insulin resistance scores. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. From age 10-12 months, WT mice had significant increase in blood pressure. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. At old age (20–22 months), WT mice had significant increase in level of LDL. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice."	"10.1172/JCI125173"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"DNA metabolism"	"n/a"	"DNA metabolism"	"0 days"	"-/-"	"male"
"CYBB"	"At young age, Nox2KO brains had slightly lower ROS production as compared with age-matched WT controls. In comparison to young WT controls, aging WT brains displayed a remarkable increase (~2.5-fold) in ROS production, and this could be reduced to the levels in young controls by addition of Tiron, an O2•– scavenger. The levels of ROS production in aging Nox2KO brains were also increased in comparison to young Nox2KO brains, albeit to a considerably lesser extent than in aging WT brains (21 months). Increased ROS production by aging WT brains was accompanied by a significant reduction in cerebral capillary density and neurons in comparison to their respective young controls. Capillary density and neuronal density were well preserved in aging Nox2KO brain as compared with young Nox2KO controls. There was no significant difference in either basal or AMPA-stimulated neuron firing frequencies between young WT and Nox2KO mice. However, at old age, the neuron firing frequency (both basal and AMPA-stimulated) was remarkably reduced in aging WT brains but well preserved in aging Nox2KO mice (21 months). There were significant increases in markers of DNA damage, i.e., increased phosphorylation of the histone variant H2AX at Ser139 to form γH2AX and increased p53 expression in aging WT brains. In contrast, aging Nox2KO brains had less DNA damage as compared with aging WT brains (21 months). At old age (20–22 months), WT mice had significant increases in body weight (the difference between age-matched WT and Nox2KO mice was significant from age of 7 months), and levels of fasting glucose, insulin. Aging WT mice were insulin resistant, as indicated by homeostatic model assessment–insulin resistance scores. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. From age 10-12 months, WT mice had significant increase in blood pressure. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. At old age (20–22 months), WT mice had significant increase in level of LDL. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice."	"10.1172/JCI125173"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"oxidation/antioxidant function"	"n/a"	"oxidation/antioxidant function"	"0 days"	"-/-"	"male"
"CYBB"	"At young age, Nox2KO brains had slightly lower ROS production as compared with age-matched WT controls. In comparison to young WT controls, aging WT brains displayed a remarkable increase (~2.5-fold) in ROS production, and this could be reduced to the levels in young controls by addition of Tiron, an O2•– scavenger. The levels of ROS production in aging Nox2KO brains were also increased in comparison to young Nox2KO brains, albeit to a considerably lesser extent than in aging WT brains (21 months). Increased ROS production by aging WT brains was accompanied by a significant reduction in cerebral capillary density and neurons in comparison to their respective young controls. Capillary density and neuronal density were well preserved in aging Nox2KO brain as compared with young Nox2KO controls. There was no significant difference in either basal or AMPA-stimulated neuron firing frequencies between young WT and Nox2KO mice. However, at old age, the neuron firing frequency (both basal and AMPA-stimulated) was remarkably reduced in aging WT brains but well preserved in aging Nox2KO mice (21 months). There were significant increases in markers of DNA damage, i.e., increased phosphorylation of the histone variant H2AX at Ser139 to form γH2AX and increased p53 expression in aging WT brains. In contrast, aging Nox2KO brains had less DNA damage as compared with aging WT brains (21 months). At old age (20–22 months), WT mice had significant increases in body weight (the difference between age-matched WT and Nox2KO mice was significant from age of 7 months), and levels of fasting glucose, insulin. Aging WT mice were insulin resistant, as indicated by homeostatic model assessment–insulin resistance scores. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. From age 10-12 months, WT mice had significant increase in blood pressure. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice. At old age (20–22 months), WT mice had significant increase in level of LDL. However, these age-related metabolic disorders were reduced or absent in aging Nox2KO mice."	"10.1172/JCI125173"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"cardiovascular system"	"n/a"	"cardiovascular system"	"0 days"	"-/-"	"male"
"CYBB"	"High glucose/insulin challenge significantly increased the levels of intracellular ROS production, and this was accompanied by significant increases in Nox2 expression, cell senescence and cell apoptosis. However, these changes were significantly inhibited in Nox2KO cells."	"10.1016/j.freeradbiomed.2017.05.008"	"n/a"	"gene knockout"	"cell culture"	"эндотелий коронарных микрососудов мыши"	""	"senescence"	"n/a"	"senescence"	"0 days"	"-/-"	"n/a"
"CYBB"	"WT mice had significantly greater body weight, epididymal fat weight starting at middle age (11–12 m) and progressing to old age (21–22 m). Compared to age-matched WT mice, age-related increases in body and epididymal fat weights were significantly reduced in Nox2KO mice.  The levels of fasting serum total cholesterol, LDL increased as age progressed and were statistically significant at old-age in comparison to young mice in WT mice, but not in Nox2KO mice.  The levels of fasting serum glucose and insulin increased as age progressed and were statistically significant at old-age in comparison to young mice in WT mice, but not in Nox2KO mice (20.5 month). Insulin resistance in aging WT mice was confirmed by glucose tolerance tests. Compared to young WT aortas, the expression of insulin receptor α was reduced significantly in WT aging aortas mainly in the endothelium and the media. However, insulin receptor expression was well preserved in aging Nox2KO aortas. WT mice had significantly greater blood pressure starting at middle age (11–12 m) and progressing to old age (21–22 m). Blood pressure was well maintained in Nox2KO mice without any significant differences between age groups.  In WT mice, the levels of O2- production in different organs varied with the highest levels found in the bone marrow and the liver. There were significant increases in the levels of O2- production starting at middle age (11-12 months) and progressing to old-age in the heart, lung, liver, kidney, aorta, spleen, fat, brain and the bone marrow (except skeletal muscles) of WT mice, but not in the organs of Nox2KO mice. In fact, the Nox2KO bone marrow, spleen and fat tissue had very little (just detectable) O2- production. The skeletal muscle produced low levels of O2- production without significant difference between age groups of both WT and Nox2KO mice. The endothelium-dependent vessel relaxation response to acetylcholine started to reduce at middle-age and was significantly impaired at old age in WT mice, but not in Nox2KO mice (20.5 months). At old age, there was a remarkable increase in the levels of ICAM-1 expression in the endothelium of WT aortas, and this was accompanied by CD45-positive leucocyte infiltration throughout the vessel wall predominately around the endothelium. However, these inflammatory changes were significantly reduced in Nox2KO aging aortas (20.5 months)."	"10.1016/j.freeradbiomed.2017.05.008"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"cholesterol metabolism"	"n/a"	"cholesterol metabolism"	"0 days"	"-/-"	"male"
"CYBB"	"WT mice had significantly greater body weight, epididymal fat weight starting at middle age (11–12 m) and progressing to old age (21–22 m). Compared to age-matched WT mice, age-related increases in body and epididymal fat weights were significantly reduced in Nox2KO mice.  The levels of fasting serum total cholesterol, LDL increased as age progressed and were statistically significant at old-age in comparison to young mice in WT mice, but not in Nox2KO mice.  The levels of fasting serum glucose and insulin increased as age progressed and were statistically significant at old-age in comparison to young mice in WT mice, but not in Nox2KO mice (20.5 month). Insulin resistance in aging WT mice was confirmed by glucose tolerance tests. Compared to young WT aortas, the expression of insulin receptor α was reduced significantly in WT aging aortas mainly in the endothelium and the media. However, insulin receptor expression was well preserved in aging Nox2KO aortas. WT mice had significantly greater blood pressure starting at middle age (11–12 m) and progressing to old age (21–22 m). Blood pressure was well maintained in Nox2KO mice without any significant differences between age groups.  In WT mice, the levels of O2- production in different organs varied with the highest levels found in the bone marrow and the liver. There were significant increases in the levels of O2- production starting at middle age (11-12 months) and progressing to old-age in the heart, lung, liver, kidney, aorta, spleen, fat, brain and the bone marrow (except skeletal muscles) of WT mice, but not in the organs of Nox2KO mice. In fact, the Nox2KO bone marrow, spleen and fat tissue had very little (just detectable) O2- production. The skeletal muscle produced low levels of O2- production without significant difference between age groups of both WT and Nox2KO mice. The endothelium-dependent vessel relaxation response to acetylcholine started to reduce at middle-age and was significantly impaired at old age in WT mice, but not in Nox2KO mice (20.5 months). At old age, there was a remarkable increase in the levels of ICAM-1 expression in the endothelium of WT aortas, and this was accompanied by CD45-positive leucocyte infiltration throughout the vessel wall predominately around the endothelium. However, these inflammatory changes were significantly reduced in Nox2KO aging aortas (20.5 months)."	"10.1016/j.freeradbiomed.2017.05.008"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"body composition"	"n/a"	"body composition"	"0 days"	"-/-"	"male"
"CYBB"	"WT mice had significantly greater body weight, epididymal fat weight starting at middle age (11–12 m) and progressing to old age (21–22 m). Compared to age-matched WT mice, age-related increases in body and epididymal fat weights were significantly reduced in Nox2KO mice.  The levels of fasting serum total cholesterol, LDL increased as age progressed and were statistically significant at old-age in comparison to young mice in WT mice, but not in Nox2KO mice.  The levels of fasting serum glucose and insulin increased as age progressed and were statistically significant at old-age in comparison to young mice in WT mice, but not in Nox2KO mice (20.5 month). Insulin resistance in aging WT mice was confirmed by glucose tolerance tests. Compared to young WT aortas, the expression of insulin receptor α was reduced significantly in WT aging aortas mainly in the endothelium and the media. However, insulin receptor expression was well preserved in aging Nox2KO aortas. WT mice had significantly greater blood pressure starting at middle age (11–12 m) and progressing to old age (21–22 m). Blood pressure was well maintained in Nox2KO mice without any significant differences between age groups.  In WT mice, the levels of O2- production in different organs varied with the highest levels found in the bone marrow and the liver. There were significant increases in the levels of O2- production starting at middle age (11-12 months) and progressing to old-age in the heart, lung, liver, kidney, aorta, spleen, fat, brain and the bone marrow (except skeletal muscles) of WT mice, but not in the organs of Nox2KO mice. In fact, the Nox2KO bone marrow, spleen and fat tissue had very little (just detectable) O2- production. The skeletal muscle produced low levels of O2- production without significant difference between age groups of both WT and Nox2KO mice. The endothelium-dependent vessel relaxation response to acetylcholine started to reduce at middle-age and was significantly impaired at old age in WT mice, but not in Nox2KO mice (20.5 months). At old age, there was a remarkable increase in the levels of ICAM-1 expression in the endothelium of WT aortas, and this was accompanied by CD45-positive leucocyte infiltration throughout the vessel wall predominately around the endothelium. However, these inflammatory changes were significantly reduced in Nox2KO aging aortas (20.5 months)."	"10.1016/j.freeradbiomed.2017.05.008"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"inflammation"	"n/a"	"inflammation"	"0 days"	"-/-"	"male"
